"","X","n_obs","m","C_obs","N_scr","N_scr_se","sigma_scr","sigma_scr_se","lambda0_scr","scr_ran","runtime_scr","N","N_se","sigma","sigma_se","lambda0","beta","r","runtime","ess_N","ess_sigma","N_better","sigma_better","N_true","mu0_true","sigma_true","lambda0_true","lambda0_better"
"1",1,77,34,25,59.7703247871522,8.62576818378527,0.107548661962313,0.0109452368199346,0.0738987668046705,1,0.10679239432017,61.8064,8.87768237423119,0.107376719925731,0.0105593647869326,0.0745971833351572,6.88803418602242,0.773666646400918,11.6942356069883,847.128984127052,364.891137485736,0,0,50,0.00534680457902141,0.121372664608061,0.0577660497464595,0
"2",2,114,35,24,49.3309790879168,5.32679046160952,0.118779278076952,0.0091595286281786,0.108943169758205,1,0.13344232638677,50.2624,5.49399853002703,0.119050386238801,0.00951882989534312,0.108134513030336,7.88162108926564,0.784946190014929,12.8693172216415,1492.74689655053,504.558657218679,1,1,50,0.0090888759936206,0.120499489596114,0.0996230640571473,1
"3",3,102,32,24,44.1926259371198,4.98513613456331,0.130035820190791,0.0111957003079987,0.088814970736246,1,0.119855797290802,44.4528,4.87537484425031,0.132730425648181,0.0118010508474798,0.0881686384944475,7.84631838299317,0.862382671944933,11.5309346954028,1133.57863848291,385.746481503336,1,1,50,0.00971310866181739,0.143561831829138,0.0750067583435032,1
"4",4,66,32,22,56.7560369881579,9.30207846196242,0.126773102387783,0.0160884432471221,0.047389042096637,1,0.0937314669291178,59.5836,9.65104492307661,0.128132051112377,0.015541589362392,0.0461801837822979,5.00384499588357,0.701347036343356,10.8258137027423,725.812559641267,325.494000821675,0,1,50,0.00634690938168205,0.16883283355739,0.0354379515920555,1
"5",5,71,33,24,51.626343159096,7.60509791642649,0.163909420392641,0.0210610465736323,0.0343170485940953,1,0.0943132281303406,52.532,7.88468409622852,0.17273819416927,0.0293747794432941,0.0332132504743824,6.83021123414097,0.731019971594491,10.4640799999237,975.631213561347,190.003677742752,0,0,50,0.00584674061625265,0.142574907322414,0.0457770458824926,0
"6",6,56,23,20,33.8164682369969,5.1729171064262,0.145776093031041,0.0179074003188105,0.0533133794734846,1,0.0492103020350138,34.606,5.16718917183947,0.14671930084018,0.0172766368181292,0.0547969127543522,7.7434097086413,0.632540318101869,8.09966721137365,1424.39425643314,470.395983265861,1,0,50,0.00516947811236605,0.142848731023259,0.0403193998461507,0
"7",7,83,30,24,40.1227962881697,4.82023887003173,0.169558689888517,0.0197222347847277,0.0481418415664932,1,0.0942314664522807,41.1848,5.01923560419514,0.16860257128415,0.020143592205609,0.049141306578688,7.76547185066596,0.784763493476167,10.361231080691,1003.5589751026,303.562845598308,1,1,50,0.00589392502093688,0.135895102657378,0.0507945510613946,1
"8",8,94,34,25,49.1489690943818,5.85783261750342,0.136326378719052,0.0128335721433583,0.0668441422512308,1,0.139956124623617,49.9376,5.82519350680788,0.138179281225185,0.0133057722138049,0.0654548004515545,7.7055263676048,0.770279739435903,12.1250120123227,1300.07545701782,443.104078236262,1,1,50,0.00820832682773471,0.146360058984719,0.0609859256840071,1
"9",1,76,35,25,58.5919982777898,8.24066482591251,0.123973171821741,0.0127328005244658,0.0574540799804576,1,0.105453773339589,60.5468,8.41038070252617,0.124535854002018,0.0129873032489938,0.0571286821143851,6.68619451938171,0.7227542435188,12.9196987231572,837.045048375328,381.934680493793,0,1,50,0.006521384177031,0.145034399111755,0.0493421281725903,1
"10",2,119,38,24,50.4014297266417,5.08876551221806,0.150880674046886,0.0134016936210518,0.0669887532371703,1,0.15200750430425,51.5112,5.11831548669761,0.150506453432683,0.0131384062397921,0.0665268919278809,8.25386125358344,0.82710769661077,14.778827003638,1272.51030524495,373.321487377645,0,1,50,0.00737369454232976,0.14235749936197,0.0579088010367522,1
"11",3,119,40,25,50.878869309069,4.82130581168655,0.180379294796411,0.0176626184191101,0.0486719902818213,1,0.179202596346537,51.7492,4.910228456742,0.18099042483204,0.0173464633991564,0.0484438823405216,6.60757819867521,0.874678746706655,13.5606123725573,1046.13982014963,350.118754723327,0,0,50,0.00996762885944918,0.178105323258787,0.0500101538441825,0
"12",4,93,33,25,47.3025314507349,5.8445628781594,0.141993547301,0.0149318851743886,0.0614538771603501,1,0.133784981568654,47.7384,5.75019924494296,0.146623992727715,0.0153929519718491,0.0593413182862279,5.69149145567656,0.864770274450809,10.4271085540454,1056.1965520432,311.787615052009,1,1,50,0.00760326931020245,0.156444486896507,0.049442449522008,1
"13",5,134,42,24,61.9958203517292,6.6300578331949,0.129282307195274,0.0107921875701746,0.0725848624939548,1,0.180786554018656,58.5984,5.96839728456967,0.15822348047919,0.0197998508755729,0.0547726485054535,1.12951765644173,0.897938962112892,14.4556014339129,1041.33824081328,161.042586014443,1,1,50,0.00921615516184829,0.148420703918673,0.0665856947510484,0
"14",6,96,35,25,47.2126334272453,5.45748241265392,0.177709685837264,0.0213746706136594,0.0418480186097956,1,0.110399476687113,48.418,5.5667289666873,0.178432991561045,0.0211846257032752,0.0417325564578702,7.17815644745141,0.746339047702447,10.6945773998896,795.781813130394,275.715466578995,1,0,50,0.00861657274304889,0.171488388497382,0.0466321298839955,0
"15",7,89,33,23,44.9682715477955,5.20200909243168,0.159471521568564,0.0165084514287346,0.0529949552842399,1,0.130379478136698,46.4884,5.48520741997749,0.159410553041461,0.0164189703074239,0.05207812068809,5.05097375966138,0.769022334304815,10.0310563445091,1234.30806678373,448.610605012431,1,1,50,0.00807584028108977,0.146121105230413,0.0601979852003304,0
"16",8,99,34,24,50.559609050498,6.10035564798153,0.124199701782646,0.0112619618359741,0.0794477207963055,1,0.126338136196136,51.1512,6.15853144538741,0.126850599355098,0.0118643064517969,0.0777255940981952,6.9425243504704,0.754002973841077,11.1446108897527,1163.45890515246,369.918353543179,0,0,50,0.00869585660635494,0.124936175867915,0.0886657892094933,0
"17",1,86,37,22,54.6342568801266,6.87999277352121,0.160963023191488,0.0177648802017411,0.0412620945408075,1,0.105890226364136,55.7972,6.98567047582397,0.165827335439627,0.0195939797549933,0.0395971015510386,6.40737027921145,0.760090947736445,13.2236959775289,929.471835018784,268.019232371952,0,0,50,0.00752920261467807,0.16040650642477,0.0465720286142801,0
"18",2,82,33,24,46.1199570288154,5.62649186183167,0.153611376401551,0.0158334726128866,0.0539926357508799,1,0.14101935227712,48.1136,6.0546972495339,0.151756072742139,0.0155805799867135,0.0532318432878698,5.76277779541304,0.731004796973877,11.6345715045929,1116.57191412238,410.506875507359,1,1,50,0.00797404193435796,0.14322753272485,0.0618650866337154,0
"19",3,98,36,25,46.9724954012786,4.91453420055098,0.175112218596762,0.0175318684266636,0.0480909999603686,1,0.179145940144857,46.6496,4.71106118395756,0.186461863659513,0.019562942915729,0.0457732081471095,5.85345521239321,0.827375698779141,11.7402685602506,1158.02867073886,405.441118964137,0,0,50,0.00904373566736467,0.1594801489776,0.0565919588213966,0
"20",4,101,34,23,46.7329217288488,5.37941469312902,0.142773218280697,0.0140543439734251,0.0690974710565725,1,0.115526990095774,46.156,5.05706372882753,0.152013962065273,0.0151491674556997,0.0658101702382972,7.73766538585541,0.844065543709821,10.8379792968432,989.107067924367,362.433647151637,0,0,50,0.00864409863017499,0.139282175903209,0.0709167394201158,0
"21",5,72,31,25,43.9857785399912,5.98702491660738,0.173300125703886,0.0214447114884903,0.0385022591280319,1,0.0918519775072733,45.2972,6.40228614380417,0.176152107533984,0.0254153648615387,0.0381689208512777,5.59122221923626,0.790645748307056,8.9950673143069,628.879644773996,254.934347866829,1,0,50,0.00575993782840669,0.156724501219578,0.0373219334976127,1
"22",6,117,40,25,47.9540557027076,4.01840308593253,0.217343830338954,0.0221818387556757,0.0386947782691826,1,0.172931655248006,48.7768,4.23099778975584,0.222989202739963,0.0243971853313075,0.0366739144057992,7.00300432946333,0.850527535422622,12.2939634362857,1106.02974194972,338.949315953429,1,0,50,0.00978093628189526,0.166358168344013,0.0562486756116571,0
"23",7,122,34,25,46.0039504478284,4.86012814605501,0.128494669520223,0.0104475905550704,0.0992239992557293,1,0.139447995026906,46.8468,4.96092471920587,0.128938575722122,0.0105132703950139,0.0976873341357744,8.08126403273529,0.844359407777647,11.9823798298836,1359.9233916444,372.469449529365,1,1,50,0.00876768844085746,0.135972732324153,0.0754747340145402,1
"24",8,103,38,24,53.6064527217613,6.1434435313351,0.161067073228286,0.0175006903359317,0.0466388921312728,1,0.125490117073059,55.1736,6.24005114845497,0.162276783239657,0.0169460485823039,0.0453936168494517,6.74651267044464,0.590796009632978,12.1072428862254,1239.15414000638,393.522004433165,0,1,50,0.00926031144685112,0.16492812812794,0.0541821538471616,0
"25",1,104,36,24,48.7811628066296,5.21883921099628,0.141343177201225,0.0122834564907083,0.0745623712182535,1,0.168783422311147,49.6092,5.37550311817502,0.143961937211646,0.012915107072383,0.0714552173104467,7.39218647827298,0.803254305164747,13.3281129598618,1363.2147910366,402.397120809348,1,1,50,0.00957403021748178,0.15941953742411,0.0599558875285572,1
"26",2,114,41,25,54.8071213270304,5.54303897115607,0.161387640052706,0.0148288521509614,0.0546165308849299,1,0.179160249233246,55.496,5.5333743134291,0.166500133270167,0.0152243803703205,0.051925803318479,7.00439559921276,0.746847199946477,14.2041813611984,1223.88551618745,381.108713670438,0,0,50,0.00968537706648931,0.162303887042217,0.0585165647780658,0
"27",3,67,35,23,61.3316911936011,9.76863627944998,0.142379191914598,0.0179941345370776,0.0368869799171452,1,0.0592100779215495,63.9304,10.3030100769949,0.144146124406473,0.0193197157200353,0.0366330187894079,6.98396734762411,0.696200019079758,10.6598948597908,731.754474631849,253.725432605307,0,1,50,0.00643069767393172,0.147464506574906,0.0470655589001201,0
"28",4,89,34,25,45.0398421976853,5.20029849744445,0.187680367276695,0.0226560218749446,0.0388449077732722,1,0.0954911867777506,44.9744,5.04268937437659,0.1991619016352,0.0256906141490828,0.0368939578596249,5.48572719619109,0.810884470038001,10.7483205000559,1098.60310127956,300.623533756478,0,0,50,0.00915223813033663,0.163146735099144,0.0547256172771167,0
"29",5,68,32,24,53.9666923797073,8.3459531705675,0.135394972673746,0.016559860300634,0.0452666828727397,1,0.103807318210602,55.3912,8.73232294098072,0.138040727444416,0.018871785516961,0.0452607820693476,6.83694846391752,0.740441559003261,10.4252560536067,686.305379285809,242.286556984575,0,1,50,0.00820872759446502,0.176080334829167,0.0421380335679258,1
"30",6,91,31,24,46.7157187695933,5.94310231106211,0.124140239606423,0.0118052669208629,0.0763709505548133,1,0.121175158023834,46.3828,5.72920532687309,0.130666258235484,0.0138308892496484,0.0731317950310347,6.99667215820113,0.737373082384372,11.1304574767749,1196.43824051338,351.902787644031,0,1,50,0.00759547974565066,0.135325729460455,0.0660107379752471,1
"31",7,101,36,24,49.7807375660833,5.48991618505948,0.137596529650836,0.0120631562419102,0.0750730855303668,1,0.115946129957835,50.09,5.48820081076264,0.142240352757641,0.0127268817338073,0.0721279495702353,6.92340173348357,0.849214108874123,12.3642768184344,1305.06307533743,381.486520913875,1,1,50,0.00868294157320634,0.147737569352612,0.0633147813291897,1
"32",8,80,37,24,56.2259263027245,8.01541602058704,0.174279522602702,0.0237063188575165,0.0319805046665226,1,0.094662880897522,57.9552,7.87591296053891,0.176956116386461,0.0220528757353607,0.0313740219478498,5.75500166100117,0.74647495539995,11.542150704066,1013.19533336952,292.534772790525,0,1,50,0.00567333298618905,0.176400871365331,0.029017296937294,1
"33",1,57,31,20,56.5691908619597,9.69796376098037,0.117842669219767,0.0142828729062738,0.0532534740516947,1,0.0747716506322225,58.36,10.1039019954775,0.12214891081927,0.0152015850445854,0.0508957806692371,6.84030975091528,0.729269954908741,10.7206177393595,605.798394013522,373.694068129157,0,1,50,0.00581009858287871,0.120987547812983,0.0631716592341628,0
"34",2,96,38,24,61.0835781225926,7.51320280341467,0.115717300609075,0.0102401347280341,0.0769852372449785,1,0.11180538336436,61.4684,7.62308638403156,0.118354115912099,0.0108996653392779,0.0761393015920361,7.21656359480847,0.814184842750113,13.1490300695101,1046.9890143793,367.104779745188,0,1,50,0.00984996250714175,0.122076221583411,0.10519438316397,0
"35",3,91,37,25,50.2991955582759,5.8870593110799,0.189848736834634,0.0232816105475902,0.0350970250800078,1,0.096191676457723,50.3732,5.58476477562302,0.197658873419816,0.0250679468689882,0.0346705339113986,6.65831055272461,0.863023089881246,11.191375207901,969.543854795616,267.239938675909,0,0,50,0.00673237436916679,0.171447500553913,0.0364523954717531,0
"36",4,54,28,22,57.2945222247559,11.0366500886803,0.122265451699016,0.0182165212341466,0.0384083859470213,1,0.0819875558217367,58.5856,11.0909276487787,0.128974598467835,0.0213108732116367,0.03741282175425,5.26776205283434,0.699764450291623,9.30127400159836,643.324867058314,210.675448216951,0,1,50,0.00510394826880656,0.170874655279331,0.027820894714344,1
"37",5,126,42,24,59.21275471274,5.87383911248947,0.128269466739117,0.0094603183190312,0.086081178957689,1,0.168885318438212,59.7536,5.8373381645009,0.129569043813824,0.00994261269204276,0.0856453530166453,7.77425238764372,0.820626040724904,14.5683706402779,1334.16510219836,415.490195940272,0,0,50,0.00952325354679488,0.125731503032148,0.0958776242734731,0
"38",6,80,31,23,42.9034608058183,5.4623943596816,0.16500033813764,0.0192877687247704,0.0464412034418061,1,0.0905890067418416,42.8536,5.08103274910908,0.173748951726566,0.0208179924224702,0.0450390499672678,6.52434066878541,0.80961923715856,9.59014971256256,933.319803052986,321.643309476149,0,1,50,0.00740697139059193,0.179117127098143,0.0367440115635653,1
"39",7,107,40,25,54.3092938142959,5.70774383607445,0.157774844278863,0.014422158397729,0.0550901852715622,1,0.129612195491791,55.7104,5.97287216678612,0.158980834141491,0.0149118456758348,0.053961545967784,7.55036882226033,0.819677108689983,12.874136420091,897.796319006636,346.908639307152,0,1,50,0.00915075234835967,0.162473994344473,0.0551707920109251,0
"40",8,60,31,21,48.7697447217967,8.4349196074992,0.213839361622766,0.0427635292053991,0.0193075021324953,1,0.09449356396993,47.8152,8.61893052213197,0.351862453356632,0.191705687180862,0.0143522899496008,6.13837224167498,0.754385836683196,8.95946733951569,299.435691697813,68.734334491436,0,0,50,0.0052451368921902,0.15377729983069,0.0353014461677116,0
"41",1,108,37,24,50.7876375233438,5.59708282252011,0.152501334303703,0.0150953947235891,0.0581438733847169,1,0.11043142080307,51.3732,5.6785579303259,0.157062586542092,0.0157043024089827,0.0560342868452924,7.72875716558621,0.816954074132839,12.3658441185951,1007.41369359933,345.137192454464,0,1,50,0.00894256181549281,0.179286747956648,0.0442777662372742,1
"42",2,79,33,23,52.4355730986752,7.50295077027065,0.136995259820247,0.0159929448387502,0.0507830590061424,1,0.122171958287557,54.2272,7.80317473688689,0.138746198659243,0.0166351291158601,0.0499852819446928,5.81125679755948,0.712727087742231,10.6683219075203,1275.98783036134,271.833762678429,0,1,50,0.0067301667353604,0.16140933921095,0.0411138963064548,1
"43",3,79,28,23,43.8656940950606,6.17190856484927,0.120968623165859,0.0125828596113731,0.0732237121100522,1,0.144233453273773,43.5272,6.0115651644385,0.12714279730662,0.0138247501863915,0.0715734329595082,5.92610468398843,0.848748699148422,9.61083666086197,1063.47712424546,318.299199704347,0,1,50,0.00805984899285249,0.151482973652892,0.0559009763216002,1
"44",4,104,39,25,49.0881721794534,4.57099785202738,0.199281812557489,0.0198985264555058,0.0397274847913178,1,0.167748816808065,49.7692,4.63064882315744,0.207493676175776,0.0229277795156003,0.0375127619655431,6.67099365910825,0.756378665579907,12.6324105501175,976.270672034101,328.299999781144,1,0,50,0.00857941425871104,0.178362603639252,0.0429210327583611,0
"45",5,67,32,25,55.205665768904,8.96448146157035,0.146333693835239,0.0207336521787516,0.0357954353427663,1,0.127928876876831,57.0084,9.20124962371172,0.154375562638458,0.0261772865414289,0.0336063455846398,5.07562124958438,0.762854690099476,10.5049330353737,951.893128492756,107.19879196512,0,1,50,0.00532582810963504,0.169175074179657,0.0296165540488933,1
"46",6,49,24,23,50.5473289871573,9.73184099617138,0.0953390032124138,0.0129789186398517,0.0660970970333524,1,0.0875382622083028,50.6848,9.95873081711696,0.102470180146501,0.0149313052152779,0.0624384166506399,6.18685436834416,0.782543090554854,8.77169205745061,800.574686115702,245.188848235846,0,1,50,0.00565461139078252,0.148014033730142,0.0410787392981054,1
"47",7,83,29,24,44.1137860886504,5.93301628513456,0.118970881828009,0.0117692781314046,0.0837944674213724,1,0.0938095172246297,43.6604,5.79124228770425,0.125671670462283,0.0135263860558807,0.0799876153097163,7.69320044425938,0.850862165692905,9.60399303436279,1016.55671734823,321.583288745683,0,1,50,0.00764874283107929,0.12688148567453,0.0756159965870408,1
"48",8,60,28,22,39.7445467957236,5.70920759329296,0.186943228189279,0.0247795015058627,0.0323518448551974,1,0.104775114854177,41.3956,6.09218733613925,0.191134173627766,0.0299422053408638,0.0317118805056693,5.94430793679879,0.727608499051345,8.65038894414902,1101.32160861638,216.84460297183,1,0,50,0.00646699218661524,0.171105425544083,0.0351556317345277,0
"49",1,90,33,24,47.4919097318682,5.8600002261498,0.140596943173425,0.0143045902569399,0.0623414550061656,1,0.0844903945922852,48.6728,6.03817223748941,0.1429480894541,0.0160206714320659,0.0607650778467854,5.48052376501406,0.763423859927608,10.794738527139,1104.91105445231,191.16806755202,1,1,50,0.0095737325376831,0.164261415316723,0.0564716270902499,1
"50",2,137,41,24,50.2157203196764,4.17044181544594,0.175216530624746,0.0148959864926384,0.0602611199183561,1,0.158627084891001,50.3044,3.97749529572708,0.180616517198595,0.0149956303960271,0.0584997702196585,7.62756269232703,0.900144973385242,14.6546024123828,1049.41975453824,313.829397777179,0,0,50,0.00910251470515504,0.158073256434873,0.0579781989859731,1
"51",3,106,39,25,50.9004004297274,4.98159806071906,0.169841636102198,0.0154718778851158,0.0518616708177213,1,0.164642985661825,51.97,5.1257398767118,0.172776183113149,0.015808720250377,0.0496230412639003,7.24022863662854,0.661803213291467,12.7672269940376,1464.45076839255,434.583188268128,0,0,50,0.00938494837610051,0.157510754973628,0.0602048658989209,0
"52",4,131,40,25,49.6138165161534,4.38012811386695,0.174862457883093,0.0157291818650751,0.057673634344612,1,0.144524164994558,50,4.31057216770178,0.177000163948078,0.015278980630122,0.0571009456680731,7.36266022173342,0.834740823952267,14.5665614088376,1365.02800928801,379.917981305839,1,0,50,0.00936942249769345,0.165817259000614,0.0542342315568263,1
"53",5,81,33,24,50.6106395923465,6.88787941457001,0.136233694910566,0.0147444462919866,0.0565097157230117,1,0.0927292029062907,51.0344,6.97354061775645,0.141407054275471,0.0159823356449615,0.0548147668710092,6.95497740896938,0.749493362073678,10.8862286289533,851.898551732307,325.729075235657,0,1,50,0.00756868380005471,0.155141221149825,0.0500479257194878,1
"54",6,138,41,25,58.3424717134916,6.16527243967834,0.133371061646599,0.0117005699111639,0.0746135818209025,1,0.188845185438792,58.2704,6.04131466099336,0.138644278401105,0.0125731202068843,0.0717646588793829,8.02313282042701,0.812988677838909,15.498609038194,875.036053168994,307.406695019928,1,0,50,0.00897656984161586,0.130287731434219,0.0841634445341038,0
"55",7,102,36,25,44.6180760538592,4.17568241092856,0.191883148307728,0.0185604814614416,0.0458412740622641,1,0.167784452438354,45.3448,4.23928078341412,0.194115857884827,0.0189533686905651,0.0454040229469613,7.6128659618641,0.855392319125215,12.0715586821238,1136.51254732539,311.364690864141,1,0,50,0.00924830471747555,0.174294750555418,0.0484522163768159,0
"56",8,62,32,22,52.031177349386,8.6844591397546,0.183619192230632,0.0294734362256507,0.0245724774541584,1,0.0895471374193827,54.1356,9.10015042376191,0.191973802936371,0.0622534972517196,0.0242836051512603,6.42791060887052,0.723063638894775,10.0830546379089,657.670869262472,72.4545712865104,0,0,50,0.00839086510590278,0.172617143997923,0.0448186754377328,0
"57",1,62,31,23,52.598004102694,8.33186938986985,0.139328579340458,0.0171291782647456,0.041663810333647,1,0.0745828747749329,52.3988,8.31212338202744,0.150810489686578,0.0225248880194939,0.0390713611207603,6.26078820359188,0.715355135965439,9.33141696850459,955.227180668852,231.396966275633,1,1,50,0.00555660366313532,0.155252163042314,0.0366905509462256,1
"58",2,79,34,25,55.033537126362,7.81268387982439,0.131485505005138,0.014756854500694,0.053767921097613,1,0.0711403091748555,55.8028,7.90549877770971,0.135395909635022,0.0158104212420568,0.0522990838638489,5.44517874069342,0.74505224146299,11.0216287771861,875.005853039082,307.058108455111,0,1,50,0.00541872869012877,0.133632681160234,0.0482938884330159,1
"59",3,112,40,24,56.0186523484388,6.1234506051654,0.142367448780902,0.0131936100463406,0.0655540392743703,1,0.118681355317434,56.5808,5.78550431544854,0.147136196089768,0.0132888939065129,0.0619756880488082,4.10059481769876,0.832726921708426,13.7216917673747,953.243181326355,350.454849528245,0,0,50,0.00809587148716673,0.139803295908496,0.0659248145732527,0
"60",4,104,37,25,55.2851075351891,6.52453807036085,0.132644964565416,0.0125441710496041,0.0652402611363421,1,0.157244126001994,56.0512,6.70069685147135,0.133080228851597,0.0134210156955672,0.0667211644969046,6.88437245674023,0.718706575093448,13.3034790476163,938.241673573909,352.755756815532,0,0,50,0.00723409430356696,0.120867569684051,0.0788106152854883,1
"61",5,89,37,24,54.279331552254,6.55101325055259,0.149660198803257,0.0149512612063033,0.0501851183066203,1,0.121306081612905,52.9136,6.18390097693333,0.164100891692981,0.0184840832436032,0.0462496379844332,6.889993323097,0.906021785294985,12.031447994709,682.553632141112,207.94879189197,1,0,50,0.00685259883874096,0.149099004613236,0.049059820146508,0
"62",6,97,36,24,47.9704753206975,5.25920499344345,0.165123235349425,0.0165994858434277,0.0520489583599185,1,0.131839795907338,49.2908,5.31103739464174,0.166539191334476,0.016844215832517,0.0504365831166557,7.2090819852752,0.690057176938372,11.7799260139465,1004.40035684369,344.113227458417,1,0,50,0.00886823449400254,0.161835547336377,0.0538901581280236,0
"63",7,76,31,24,47.2718861142931,6.42482919957822,0.125431013045435,0.0126352123943357,0.071627241483099,1,0.124630196889242,47.14,6.35759133532778,0.131017609364114,0.0133343770672129,0.069805730833269,6.87563422002573,0.815481315205827,9.92286812067032,959.655537649787,399.50628772548,0,1,50,0.00540140471071936,0.130258864075877,0.0506654935162224,1
