"","sigma_true","mu0_true","r_true","beta_true","N","N_scr","sigma","sigma_scr","N_better","sigma_better","N_SE","N_scr_SE","sigma_SE","sigma_scr_SE"
"1",0.12,0.005,0.25,0.2,52.981904,56.4888715334653,0.105287588444422,0.0457194269792947,0.56,1,77.6366174912,101.527761088304,0.000732162266049087,0.0055573060651726
"2",0.12,0.005,0.25,0.4,58.52576,57.0245401729714,0.113570131934123,0.0550357396972419,0.4,1,164.9155187456,110.590424280089,0.000452285113017001,0.00429078080974895
"3",0.12,0.005,0.25,0.6,53.7508,52.8662402240922,0.120693120600419,0.0650820326759216,0.44,0.96,108.6197767616,79.1598360820881,0.000598163831656789,0.00312154737675469
"4",0.12,0.005,0.25,0.8,49.20496,47.4836376752183,0.127420387596543,0.0748552782374738,0.52,0.8,67.0504162048,63.261088294057,0.000450122173804825,0.00214557919480434
"5",0.12,0.005,0.25,1,55.537568,51.7113016399671,0.119279289467553,0.0755568159363306,0.4,0.88,115.4322291328,38.3501232219865,0.000336722786079039,0.00210923521609067
"6",0.12,0.005,0.5,0.2,53.745968,56.4756504608497,0.112998991026951,0.0745979929848224,0.8,0.96,75.2839106752,129.407970023846,0.000487454481685854,0.00224165623874203
"7",0.12,0.005,0.5,0.4,54.814032,54.9997940670062,0.121092179764567,0.0881069023440602,0.68,0.92,106.2480918208,110.972289415078,0.000272183093235384,0.0011871623119535
"8",0.12,0.005,0.5,0.6,55.102288,55.3022411570556,0.122437871517703,0.0906202143723636,0.6,0.68,115.3372011456,124.370645160776,0.000579298831265771,0.00109374775153925
"9",0.12,0.005,0.5,0.8,52.138432,50.978713892032,0.117625672845587,0.0936160514373562,0.44,0.8,157.8376576384,117.165051197288,0.000620633760171012,0.00101755336516915
"10",0.12,0.005,0.5,1,50.592832,50.0434237399025,0.139420848896701,0.103629548249599,0.48,0.56,54.994155968,55.1333712558098,0.00215632569884387,0.000573700092468534
"11",0.12,0.01,0.25,0.2,57.041312,69.7263494928094,0.107429921685741,0.0459775194718958,0.92,1,144.6434121472,421.074037452449,0.000651304690113901,0.00550682827271521
"12",0.12,0.01,0.25,0.4,52.440208,63.0903501018866,0.120082370837775,0.054120808854787,0.92,1,42.0321870784,217.920798854462,0.000371596471499204,0.00435788349569415
"13",0.12,0.01,0.25,0.6,52.166144,59.17037883992,0.12105953871383,0.0627675455467021,0.76,1,57.509359552,133.821134865107,0.000422314441433277,0.0033319581330096
"14",0.12,0.01,0.25,0.8,50.906592,55.3534645222378,0.116802576076243,0.0689481055190581,0.88,1,30.4680313216,62.9363072987272,0.000192152749053096,0.00265203590471828
"15",0.12,0.01,0.25,1,51.252016,53.8968991579954,0.118124622795997,0.0747738052961603,0.68,1,28.3965115072,46.4858569489992,0.000164200539961942,0.00211081493309342
"16",0.12,0.01,0.5,0.2,50.819312,55.886999122333,0.116695634623323,0.0811712560281383,0.68,0.88,36.493657824,90.4683521689374,0.000426596965360489,0.00161268840680605
"17",0.12,0.01,0.5,0.4,51.435104,54.657323139238,0.120962989226439,0.0896912060263155,0.6,0.96,54.4760080768,78.2478801580893,0.00030006757752787,0.000983010061851349
"18",0.12,0.01,0.5,0.6,53.419264,54.9872696190731,0.112460850435937,0.0929436991881956,0.64,0.88,38.811156096,52.4498476538462,0.000239137575593287,0.000805274076278448
"19",0.12,0.01,0.5,0.8,52.277776,53.5990196916503,0.118123280008075,0.100702819254758,0.76,0.8,20.6077089856,42.7408014197243,0.000155649129050168,0.000532370994026885
"20",0.12,0.01,0.5,1,51.377568,51.3805335353252,0.116273959179212,0.105408152785469,0.76,0.72,22.148074368,30.9467653468715,0.000108645128260227,0.000307632622277257
"21",0.18,0.005,0.25,0.2,56.681568,58.7168376700469,0.161669974249927,0.0674368002981328,0.64,1,124.3145570048,131.637597748854,0.00273803960746475,0.0129405369546263
"22",0.18,0.005,0.25,0.4,59.5936,59.215173482277,0.158698311188176,0.0833011248055052,0.44,1,160.6414833408,136.230842081889,0.00176418137879803,0.00961968865948228
"23",0.18,0.005,0.25,0.6,56.121888,54.2854095679143,0.165037027812876,0.102051284103597,0.52,0.92,108.0605612288,77.4587827500948,0.00206369983305454,0.00654857687960859
"24",0.18,0.005,0.25,0.8,52.452784,49.4716802948648,0.169769196287458,0.116307982150514,0.6,0.96,131.8301892416,95.1727700909703,0.000988869480835693,0.00473118485652556
"25",0.18,0.005,0.25,1,57.175008,53.3536773668127,0.16995603414896,0.124806966974745,0.32,0.84,110.211732672,86.1398626234866,0.00131285606355457,0.00385314533245868
"26",0.18,0.005,0.5,0.2,56.624416,56.6584875053209,0.178420868534487,0.109530229036547,0.52,0.88,117.1391763328,127.767349854,0.00163342751262307,0.00519209883404694
"27",0.18,0.005,0.5,0.4,55.823904,53.3240620617422,0.186469829343058,0.123941362203389,0.4,0.84,134.441536384,72.6430589332621,0.00179767148883225,0.00368145140543808
"28",0.18,0.005,0.5,0.6,57.070048,54.0620719038733,0.202858579941627,0.13865800200993,0.52,0.6,186.4760593664,135.006529395186,0.00212351646856389,0.00217162337788028
"29",0.18,0.005,0.5,0.8,56.4424,52.1151490591994,0.225128562571048,0.141514108221095,0.32,0.6,192.2743412608,99.1163245995546,0.00857828821231585,0.00204529325834727
"30",0.18,0.005,0.5,1,56.38704,49.753494520063,0.2235414128629,0.150226286889219,0.48,0.44,176.3811138048,65.2382917275041,0.00548627887777147,0.00144091842600899
"31",0.18,0.01,0.25,0.2,52.268336,65.82693449716,0.167101767897768,0.0691996172683936,1,1,19.9403820096,283.264248234567,0.00114609717618528,0.0123544565396796
"32",0.18,0.01,0.25,0.4,52.89112,59.8363865618468,0.176992497707747,0.0898055017649605,0.84,1,29.7883589952,148.58745231743,0.000839133551507191,0.00835867475694497
"33",0.18,0.01,0.25,0.6,51.370368,55.2102630400109,0.173587466517374,0.104759335041302,0.64,0.96,31.0819126272,86.7869421222806,0.000560188541499686,0.00592422035220925
"34",0.18,0.01,0.25,0.8,50.61544,52.6193444243801,0.187875071319201,0.120965117846258,0.72,0.84,13.4768327872,33.3142897638904,0.00063707651193664,0.0038479680151955
"35",0.18,0.01,0.25,1,50.41784,51.6345586159138,0.177804590153598,0.125072835783434,0.56,0.96,20.3275858112,32.6272283444961,0.00043207909437713,0.0032945711550443
"36",0.18,0.01,0.5,0.2,52.465136,54.721871262606,0.168229572372407,0.115658689267278,0.64,1,25.2319454528,48.4449085614504,0.00103864015689785,0.004292473500092
"37",0.18,0.01,0.5,0.4,51.104192,51.7967374214963,0.185700016558826,0.13722814802505,0.6,0.84,24.4209453952,27.671441116931,0.000947179942884632,0.00215317998311492
"38",0.18,0.01,0.5,0.6,51.213776,50.6440608350639,0.179744396968463,0.146595086728656,0.52,0.76,27.4066393536,29.4370658248738,0.000955507022543287,0.00142838330757627
"39",0.18,0.01,0.5,0.8,52.737248,51.9600607614509,0.182803685173629,0.148435607203551,0.44,0.8,24.3473368064,20.6974443545137,0.00285670983823626,0.00129937016071334
"40",0.18,0.01,0.5,1,50.796992,50.5549199211782,0.18718513532575,0.158360469904175,0.56,0.76,17.1118660224,26.4128196445608,0.000328154841047492,0.000823791564654913
